loss,val_loss
1.1929645124621746,4.2851933656736865
0.6068945792156504,2.6965811252593994
0.4297113481401478,1.2924776077270508
0.34734293619280915,0.95146795899369
0.3035250591128528,0.9078592658042908
0.28513339138889066,0.907539427280426
0.2677575860814141,0.6078260540962219
0.24733713613990646,0.5343881845474243
0.22306452611111738,0.5197335481643677
0.2168911872072514,0.43938153982162476
0.21456759340658899,0.4192977249622345
0.2086563399181268,0.3829047679901123
0.20259317694409035,0.32617470622062683
0.19488133264078272,0.2777964472770691
0.19555565891045223,0.23133227229118347
0.20020251822655488,0.2216116040945053
0.2107369746524448,0.21423779185428177
0.19605607709878514,0.21652647852897644
0.19547537448013963,0.23220063745975494
0.20033765069010326,0.22465142954227535
0.20172895134874358,0.20856085419654846
0.194298534244682,0.20134186744689941
0.190217890170975,0.2027331292629242
0.18702195952514755,0.20165501534938812
0.18284481986016418,0.20050219844940098
0.17856982833009147,0.20105911791324615
0.18132807954111566,0.20172381401062012
0.18498572316451672,0.20204845070838928
0.1844972165200888,0.20347903460957284
0.1858712273115977,0.20431574901869132
